snum,wins,victories,rounds
#63,168,38,"['#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#475', '#63', '#63', '#475', '#63', '#63', '#63', '#63', '#406', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#574', '#63', '#443', '#443', '#63', '#443', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#359', '#63', '#63', '#63', '#63', '#63', '#439', '#63', '#63', '#63', '#63', '#145', '#63', '#63', '#63', '#63', '#200', '#63', '#812', '#63', '#63', '#812', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#516', '#63', '#63', '#63', '#63', '#378', '#63', '#720', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#969', '#63', '#63', '#690', '#63', '#690', '#63', '#63', '#63', '#63', '#574', '#63', '#55', '#63', '#63', '#55', '#63', '#63', '#63', '#63', '#346', '#21', '#63', '#21', '#63', '#21', '#63', '#63', '#63', '#63', '#976', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#264', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#939', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#462', '#63', '#63', '#63', '#351', '#63', '#783', '#63', '#783', '#63', '#783', '#63', '#63', '#63', '#63', '#356', '#63', '#63', '#63', '#63', '#613', '#63', '#63', '#63', '#63', '#645', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63', '#63']"
#77,83,15,"['#511', '#77', '#511', '#511', '#511', '#250', '#250', '#250', '#250', '#250', '#77', '#486', '#486', '#486', '#77', '#77', '#77', '#414', '#77', '#414', '#77', '#902', '#902', '#77', '#77', '#916', '#916', '#916', '#77', '#77', '#77', '#77', '#77', '#77', '#77', '#379', '#379', '#379', '#77', '#379', '#587', '#587', '#77', '#587', '#587', '#454', '#77', '#454', '#454', '#77', '#77', '#64', '#77', '#77', '#64', '#227', '#227', '#227', '#77', '#77', '#133', '#133', '#133', '#133', '#133', '#435', '#435', '#435', '#435', '#77', '#8', '#77', '#8', '#8', '#8', '#77', '#300', '#300', '#300', '#77', '#242', '#77', '#77', '#77', '#77', '#77', '#77', '#357', '#357', '#357', '#77', '#785', '#785', '#785', '#785', '#935', '#77', '#77', '#77', '#77', '#77', '#419', '#419', '#77', '#419', '#77', '#77', '#619', '#77', '#77', '#906', '#77', '#906', '#77', '#906', '#77', '#77', '#77', '#618', '#618', '#77', '#77', '#77', '#77', '#77', '#333', '#77', '#77', '#333', '#77', '#77', '#77', '#767', '#767', '#77', '#949', '#77', '#77', '#949', '#949', '#424', '#424', '#424', '#77', '#77', '#77', '#77', '#714', '#714', '#714', '#745', '#77', '#745', '#77', '#77', '#143', '#77', '#77', '#77', '#143', '#77', '#77', '#357', '#77', '#357', '#589', '#589', '#77', '#77', '#589', '#77', '#77', '#650', '#650', '#77', '#77', '#84', '#84', '#84', '#84']"
#511,79,17,"['#511', '#77', '#511', '#511', '#511', '#511', '#209', '#511', '#209', '#209', '#511', '#511', '#511', '#676', '#676', '#136', '#511', '#511', '#511', '#511', '#925', '#925', '#925', '#925', '#925', '#511', '#511', '#511', '#863', '#863', '#511', '#511', '#511', '#511', '#526', '#433', '#433', '#511', '#433', '#511', '#840', '#511', '#511', '#840', '#840', '#511', '#511', '#511', '#522', '#522', '#511', '#511', '#511', '#511', '#525', '#252', '#511', '#511', '#511', '#252', '#123', '#123', '#511', '#123', '#123', '#964', '#964', '#964', '#511', '#964', '#511', '#511', '#511', '#865', '#865', '#711', '#711', '#511', '#511', '#711', '#405', '#511', '#405', '#405', '#405', '#511', '#930', '#511', '#930', '#511', '#256', '#256', '#511', '#511', '#256', '#999', '#511', '#999', '#511', '#999', '#20', '#511', '#511', '#511', '#511', '#511', '#552', '#552', '#552', '#552', '#511', '#670', '#511', '#511', '#670', '#511', '#511', '#511', '#824', '#824', '#511', '#511', '#511', '#511', '#322', '#511', '#270', '#511', '#511', '#270', '#511', '#511', '#906', '#906', '#906', '#511', '#693', '#511', '#511', '#693', '#431', '#511', '#431', '#431', '#511', '#801', '#801', '#801', '#801', '#801', '#511', '#710', '#511', '#710', '#511', '#733', '#733', '#511', '#733', '#511']"
#66,87,12,"['#245', '#245', '#245', '#66', '#245', '#822', '#822', '#822', '#66', '#66', '#969', '#969', '#969', '#66', '#969', '#692', '#692', '#692', '#66', '#66', '#66', '#12', '#12', '#66', '#12', '#914', '#914', '#914', '#66', '#914', '#244', '#244', '#244', '#244', '#244', '#593', '#593', '#593', '#66', '#66', '#66', '#66', '#612', '#66', '#612', '#608', '#608', '#608', '#66', '#608', '#66', '#66', '#579', '#66', '#579', '#113', '#113', '#66', '#66', '#113', '#823', '#823', '#823', '#66', '#66', '#968', '#66', '#968', '#66', '#66', '#53', '#66', '#66', '#66', '#66', '#485', '#485', '#485', '#66', '#485', '#941', '#941', '#941', '#66', '#66', '#557', '#557', '#557', '#66', '#557', '#66', '#735', '#735', '#66', '#735', '#66', '#85', '#85', '#85', '#85', '#945', '#66', '#945', '#945', '#66', '#677', '#677', '#677', '#66', '#677', '#66', '#66', '#525', '#525', '#66', '#884', '#884', '#66', '#884', '#884', '#66', '#822', '#822', '#822', '#822', '#435', '#66', '#435', '#435', '#435', '#66', '#221', '#66', '#66', '#66', '#705', '#705', '#705', '#66', '#705', '#66', '#66', '#81', '#81', '#81', '#421', '#66', '#66', '#421', '#421', '#266', '#266', '#266', '#266', '#266', '#599', '#66', '#66', '#66', '#599', '#274', '#274', '#274', '#66', '#274', '#259', '#66', '#66', '#259', '#259', '#66', '#281', '#66', '#66', '#66', '#148', '#66', '#148', '#66', '#66', '#66', '#670', '#66', '#670', '#670', '#66', '#66', '#191', '#66', '#66', '#444', '#444', '#444', '#444', '#66', '#26', '#66', '#66', '#66', '#26', '#230', '#230', '#230', '#230', '#66', '#423', '#423', '#423', '#423', '#423', '#66', '#492', '#492', '#66', '#492', '#834', '#834', '#834', '#66', '#66', '#996', '#996', '#996', '#66', '#66', '#304', '#66', '#66', '#66', '#304']"
#245,111,19,"['#245', '#245', '#245', '#66', '#245', '#245', '#245', '#353', '#353', '#245', '#245', '#245', '#245', '#245', '#245', '#245', '#245', '#209', '#245', '#209', '#245', '#245', '#25', '#245', '#245', '#245', '#245', '#840', '#840', '#840', '#780', '#245', '#780', '#245', '#245', '#201', '#201', '#245', '#201', '#245', '#245', '#245', '#187', '#187', '#245', '#245', '#698', '#245', '#698', '#698', '#364', '#364', '#364', '#364', '#364', '#920', '#245', '#245', '#245', '#920', '#245', '#245', '#877', '#877', '#245', '#630', '#245', '#630', '#630', '#245', '#245', '#161', '#161', '#161', '#245', '#309', '#309', '#309', '#245', '#309', '#245', '#245', '#913', '#245', '#245', '#194', '#245', '#194', '#245', '#194', '#245', '#245', '#245', '#583', '#245', '#46', '#245', '#46', '#46', '#245', '#245', '#527', '#527', '#527', '#527', '#717', '#245', '#245', '#245', '#245', '#245', '#669', '#245', '#245', '#669', '#69', '#245', '#245', '#245', '#69', '#245', '#245', '#245', '#245', '#245', '#245', '#245', '#725', '#245', '#245', '#245', '#72', '#72', '#245', '#72', '#245', '#245', '#245', '#589', '#589', '#99', '#99', '#99', '#99', '#245', '#782', '#782', '#782', '#245', '#245', '#245', '#409', '#245', '#409', '#409', '#334', '#245', '#334', '#334', '#334', '#245', '#245', '#677', '#245', '#245', '#909', '#909', '#245', '#909', '#909', '#831', '#245', '#831', '#831', '#831', '#324', '#245', '#324', '#324', '#324', '#245', '#224', '#224', '#224', '#224', '#61', '#245', '#61', '#61', '#245', '#144', '#245', '#144', '#144', '#245', '#245', '#245', '#245', '#539', '#245', '#296', '#245', '#296', '#245', '#296', '#74', '#245', '#74', '#74', '#74', '#245', '#683', '#683', '#683', '#245', '#520', '#520', '#245', '#520', '#520', '#245', '#705', '#245', '#705', '#705', '#245', '#43', '#43', '#245', '#43']"
#527,120,20,"['#527', '#25', '#25', '#25', '#527', '#994', '#994', '#994', '#994', '#527', '#527', '#527', '#69', '#69', '#69', '#527', '#17', '#527', '#527', '#17', '#527', '#517', '#517', '#527', '#517', '#937', '#937', '#937', '#527', '#527', '#177', '#527', '#527', '#527', '#527', '#527', '#704', '#704', '#704', '#527', '#140', '#140', '#527', '#140', '#527', '#527', '#527', '#843', '#843', '#527', '#527', '#493', '#493', '#527', '#527', '#527', '#236', '#236', '#236', '#527', '#527', '#813', '#813', '#527', '#527', '#689', '#527', '#527', '#689', '#527', '#527', '#689', '#527', '#689', '#689', '#527', '#551', '#527', '#527', '#527', '#527', '#527', '#527', '#527', '#527', '#527', '#507', '#507', '#507', '#527', '#266', '#266', '#527', '#266', '#527', '#172', '#172', '#172', '#527', '#527', '#527', '#234', '#527', '#527', '#527', '#527', '#814', '#814', '#814', '#527', '#527', '#527', '#148', '#527', '#527', '#816', '#816', '#816', '#527', '#527', '#527', '#527', '#744', '#744', '#527', '#245', '#527', '#527', '#527', '#527', '#527', '#527', '#527', '#160', '#527', '#947', '#527', '#947', '#947', '#527', '#527', '#185', '#527', '#185', '#527', '#527', '#653', '#527', '#527', '#527', '#472', '#472', '#472', '#472', '#527', '#527', '#527', '#947', '#947', '#527', '#527', '#292', '#292', '#292', '#527', '#527', '#431', '#431', '#431', '#527', '#527', '#527', '#180', '#180', '#527', '#668', '#668', '#668', '#668', '#527', '#233', '#233', '#233', '#233', '#527', '#32', '#32', '#32', '#527', '#527', '#527', '#527', '#94', '#94', '#527', '#527', '#458', '#458', '#458', '#527', '#852', '#852', '#527', '#852', '#527', '#527', '#32', '#32', '#32', '#527', '#221', '#221', '#221', '#527', '#527', '#527', '#527', '#527', '#54', '#527', '#382', '#527', '#382', '#382', '#527', '#527', '#876', '#527', '#876', '#876', '#527', '#683', '#527', '#683', '#527']"
#25,81,10,"['#527', '#25', '#25', '#25', '#527', '#25', '#691', '#691', '#25', '#691', '#25', '#25', '#25', '#25', '#98', '#25', '#644', '#25', '#644', '#644', '#25', '#514', '#25', '#514', '#25', '#25', '#263', '#263', '#263', '#263', '#25', '#25', '#644', '#644', '#25', '#206', '#206', '#206', '#25', '#206', '#25', '#25', '#820', '#820', '#820', '#245', '#245', '#25', '#245', '#245', '#126', '#126', '#126', '#25', '#25', '#274', '#25', '#25', '#274', '#274', '#870', '#870', '#870', '#870', '#25', '#25', '#25', '#25', '#25', '#485', '#25', '#410', '#410', '#25', '#410', '#203', '#25', '#203', '#25', '#203', '#25', '#25', '#25', '#25', '#234', '#25', '#845', '#25', '#845', '#25', '#25', '#76', '#25', '#25', '#76', '#25', '#530', '#530', '#530', '#25', '#25', '#199', '#25', '#199', '#199', '#25', '#25', '#712', '#712', '#712', '#238', '#238', '#25', '#25', '#238', '#746', '#25', '#746', '#746', '#746', '#25', '#549', '#549', '#25', '#25', '#372', '#372', '#25', '#372', '#25', '#413', '#413', '#413', '#413', '#413', '#802', '#802', '#25', '#802', '#25', '#25', '#25', '#276', '#276', '#276', '#563', '#25', '#563', '#563', '#563', '#168', '#25', '#168', '#25', '#25', '#137', '#137', '#25', '#137', '#137', '#707', '#707', '#707', '#707', '#707', '#25', '#25', '#250', '#250', '#250', '#685', '#685', '#25', '#25', '#685', '#50', '#50', '#25', '#50', '#50', '#535', '#535', '#25', '#25', '#535', '#131', '#131', '#25', '#25', '#131', '#412', '#25', '#25', '#412', '#412', '#945', '#25', '#945', '#945', '#25']"
#852,158,36,"['#24', '#24', '#852', '#852', '#24', '#852', '#852', '#980', '#852', '#852', '#852', '#852', '#221', '#221', '#852', '#852', '#852', '#852', '#852', '#346', '#551', '#551', '#852', '#852', '#551', '#852', '#852', '#852', '#852', '#852', '#852', '#957', '#957', '#852', '#852', '#852', '#718', '#718', '#852', '#852', '#852', '#240', '#852', '#852', '#240', '#852', '#136', '#852', '#136', '#136', '#852', '#852', '#852', '#852', '#506', '#852', '#368', '#852', '#852', '#368', '#350', '#350', '#852', '#852', '#350', '#852', '#875', '#852', '#852', '#875', '#542', '#542', '#852', '#852', '#852', '#852', '#875', '#852', '#852', '#875', '#852', '#631', '#852', '#852', '#631', '#852', '#726', '#726', '#852', '#726', '#852', '#852', '#852', '#852', '#996', '#821', '#852', '#821', '#852', '#852', '#58', '#58', '#852', '#58', '#852', '#852', '#496', '#852', '#852', '#852', '#852', '#852', '#852', '#852', '#852', '#332', '#852', '#852', '#852', '#852', '#852', '#149', '#852', '#852', '#852', '#852', '#678', '#678', '#852', '#678', '#2', '#2', '#852', '#852', '#852', '#534', '#852', '#852', '#534', '#534', '#852', '#852', '#852', '#852', '#766', '#852', '#737', '#852', '#852', '#852', '#852', '#950', '#852', '#852', '#950', '#404', '#404', '#852', '#852', '#404', '#135', '#852', '#852', '#852', '#135', '#852', '#852', '#476', '#852', '#852', '#852', '#852', '#527', '#852', '#527', '#852', '#852', '#852', '#852', '#852', '#852', '#928', '#928', '#852', '#928', '#852', '#852', '#852', '#852', '#852', '#399', '#399', '#399', '#852', '#399', '#852', '#852', '#852', '#852', '#852', '#852', '#852', '#852', '#852', '#852', '#852', '#290', '#852', '#852', '#290', '#625', '#625', '#852', '#852', '#625', '#852', '#852', '#852', '#852', '#737', '#164', '#164', '#852', '#852', '#852', '#852', '#33', '#852', '#852', '#852', '#852', '#140', '#852', '#852', '#140', '#852', '#852', '#852', '#852', '#540', '#852', '#232', '#232', '#852', '#232']"
#286,139,31,"['#156', '#156', '#156', '#286', '#156', '#286', '#286', '#286', '#286', '#286', '#541', '#286', '#286', '#286', '#286', '#286', '#286', '#286', '#286', '#267', '#286', '#219', '#286', '#286', '#286', '#286', '#286', '#286', '#286', '#286', '#286', '#67', '#286', '#286', '#67', '#286', '#892', '#286', '#892', '#892', '#286', '#576', '#286', '#286', '#576', '#743', '#743', '#286', '#286', '#743', '#286', '#144', '#286', '#286', '#286', '#286', '#904', '#286', '#286', '#904', '#454', '#286', '#454', '#454', '#286', '#579', '#286', '#286', '#286', '#579', '#286', '#988', '#988', '#286', '#286', '#286', '#992', '#286', '#992', '#992', '#286', '#286', '#286', '#286', '#602', '#368', '#368', '#286', '#286', '#286', '#286', '#538', '#286', '#286', '#538', '#601', '#601', '#601', '#286', '#601', '#286', '#36', '#286', '#286', '#36', '#114', '#114', '#286', '#286', '#114', '#286', '#713', '#286', '#286', '#286', '#839', '#286', '#286', '#286', '#286', '#286', '#610', '#286', '#286', '#610', '#286', '#286', '#286', '#286', '#286', '#286', '#185', '#286', '#286', '#286', '#172', '#172', '#286', '#286', '#172', '#286', '#286', '#286', '#286', '#286', '#736', '#286', '#736', '#286', '#286', '#622', '#622', '#622', '#286', '#622', '#286', '#286', '#300', '#286', '#286', '#286', '#286', '#286', '#286', '#286', '#640', '#640', '#640', '#286', '#286', '#692', '#692', '#286', '#286', '#286', '#286', '#553', '#553', '#286', '#553', '#286', '#606', '#286', '#286', '#286', '#286', '#689', '#286', '#286', '#286', '#84', '#84', '#286', '#286', '#286', '#286', '#228', '#286', '#286', '#286', '#286', '#286', '#286', '#286', '#44', '#286', '#813', '#813', '#286', '#813', '#314', '#286', '#314', '#314', '#286', '#286', '#654', '#286', '#286', '#654']"
#156,85,18,"['#156', '#156', '#156', '#286', '#156', '#428', '#428', '#156', '#156', '#156', '#156', '#156', '#783', '#783', '#156', '#794', '#794', '#156', '#794', '#794', '#156', '#156', '#828', '#828', '#156', '#494', '#156', '#156', '#156', '#494', '#156', '#156', '#156', '#156', '#156', '#430', '#430', '#156', '#156', '#156', '#156', '#908', '#908', '#908', '#908', '#993', '#156', '#156', '#993', '#993', '#512', '#156', '#512', '#512', '#512', '#684', '#684', '#156', '#156', '#684', '#156', '#675', '#156', '#675', '#675', '#156', '#397', '#156', '#397', '#397', '#387', '#156', '#156', '#156', '#387', '#981', '#981', '#981', '#156', '#981', '#624', '#156', '#624', '#156', '#624', '#156', '#291', '#156', '#156', '#291', '#156', '#752', '#156', '#156', '#752', '#156', '#156', '#156', '#156', '#156', '#156', '#49', '#156', '#49', '#49', '#531', '#531', '#156', '#531', '#531', '#930', '#156', '#156', '#930', '#930', '#44', '#156', '#156', '#156', '#44', '#156', '#156', '#156', '#393', '#156', '#156', '#493', '#156', '#493', '#156', '#221', '#156', '#156', '#156', '#221', '#156', '#574', '#156', '#574', '#574', '#156', '#730', '#156', '#730', '#156', '#156', '#156', '#156', '#156', '#919', '#789', '#789', '#156', '#156', '#156', '#382', '#382', '#382', '#382', '#382', '#156', '#68', '#156', '#68', '#68', '#156', '#513', '#513', '#513', '#513']"
#463,79,17,"['#564', '#564', '#463', '#463', '#564', '#463', '#463', '#405', '#463', '#405', '#413', '#413', '#413', '#463', '#413', '#463', '#2', '#463', '#2', '#463', '#463', '#479', '#463', '#463', '#463', '#197', '#197', '#463', '#463', '#463', '#387', '#463', '#387', '#463', '#387', '#463', '#24', '#463', '#463', '#24', '#463', '#463', '#984', '#463', '#463', '#732', '#463', '#732', '#463', '#463', '#577', '#577', '#577', '#463', '#463', '#463', '#88', '#88', '#463', '#88', '#463', '#463', '#898', '#463', '#463', '#463', '#939', '#939', '#463', '#939', '#999', '#999', '#999', '#999', '#999', '#463', '#463', '#463', '#463', '#463', '#881', '#463', '#881', '#463', '#881', '#463', '#183', '#463', '#463', '#183', '#36', '#463', '#36', '#463', '#36', '#463', '#739', '#739', '#739', '#739', '#116', '#116', '#116', '#116', '#463', '#463', '#463', '#846', '#463', '#463', '#463', '#463', '#124', '#463', '#124', '#463', '#157', '#157', '#463', '#463', '#433', '#463', '#463', '#463', '#463', '#463', '#875', '#875', '#463', '#875', '#463', '#463', '#463', '#205', '#463', '#463', '#95', '#463', '#463', '#463', '#463', '#219', '#463', '#463', '#219']"
#564,152,32,"['#564', '#564', '#463', '#463', '#564', '#564', '#564', '#564', '#794', '#564', '#564', '#84', '#84', '#84', '#564', '#225', '#225', '#564', '#564', '#564', '#564', '#564', '#93', '#564', '#564', '#649', '#649', '#564', '#649', '#564', '#980', '#980', '#980', '#980', '#564', '#693', '#693', '#693', '#564', '#564', '#564', '#564', '#668', '#668', '#564', '#877', '#877', '#564', '#564', '#564', '#564', '#564', '#564', '#564', '#564', '#564', '#890', '#564', '#890', '#564', '#564', '#854', '#564', '#854', '#564', '#564', '#564', '#564', '#564', '#564', '#86', '#86', '#564', '#564', '#564', '#564', '#564', '#6', '#6', '#564', '#540', '#564', '#540', '#540', '#564', '#850', '#564', '#850', '#850', '#564', '#58', '#58', '#564', '#58', '#564', '#154', '#564', '#564', '#564', '#564', '#87', '#87', '#87', '#564', '#564', '#697', '#697', '#564', '#697', '#564', '#564', '#358', '#564', '#358', '#564', '#127', '#127', '#127', '#564', '#564', '#564', '#635', '#564', '#635', '#564', '#564', '#924', '#924', '#564', '#564', '#773', '#773', '#773', '#564', '#564', '#564', '#469', '#564', '#564', '#564', '#564', '#564', '#564', '#564', '#564', '#686', '#686', '#686', '#564', '#686', '#564', '#175', '#175', '#175', '#564', '#207', '#564', '#207', '#564', '#564', '#493', '#564', '#564', '#493', '#564', '#564', '#564', '#564', '#492', '#564', '#321', '#564', '#564', '#564', '#564', '#564', '#1', '#1', '#564', '#564', '#564', '#935', '#564', '#935', '#564', '#564', '#564', '#94', '#564', '#564', '#564', '#372', '#372', '#564', '#564', '#564', '#813', '#813', '#813', '#564', '#658', '#564', '#564', '#658', '#564', '#525', '#525', '#564', '#525', '#564', '#564', '#564', '#564', '#255', '#564', '#883', '#883', '#883', '#564', '#564', '#774', '#774', '#564', '#774', '#564', '#610', '#610', '#564', '#564', '#564', '#425', '#564', '#564', '#425', '#564', '#255', '#255', '#564', '#255', '#564', '#748', '#564', '#748', '#748', '#564', '#564', '#550', '#550', '#550', '#564', '#564', '#261', '#564', '#564', '#564', '#876', '#876', '#564', '#564', '#876', '#985', '#985', '#985', '#985', '#564', '#564', '#243', '#564', '#243', '#564']"
#191,96,17,"['#191', '#191', '#191', '#595', '#191', '#191', '#191', '#659', '#191', '#659', '#386', '#386', '#386', '#386', '#386', '#191', '#346', '#191', '#191', '#191', '#191', '#8', '#191', '#8', '#8', '#191', '#343', '#191', '#191', '#343', '#191', '#191', '#191', '#191', '#427', '#359', '#359', '#191', '#359', '#359', '#228', '#191', '#191', '#228', '#228', '#506', '#191', '#191', '#191', '#506', '#865', '#865', '#191', '#865', '#865', '#800', '#191', '#191', '#191', '#800', '#191', '#53', '#191', '#191', '#53', '#191', '#793', '#191', '#793', '#793', '#932', '#932', '#191', '#932', '#932', '#191', '#223', '#191', '#191', '#223', '#336', '#336', '#191', '#336', '#191', '#191', '#191', '#191', '#471', '#471', '#902', '#902', '#191', '#191', '#902', '#699', '#699', '#191', '#699', '#699', '#139', '#139', '#191', '#139', '#191', '#191', '#732', '#191', '#191', '#732', '#606', '#606', '#191', '#606', '#606', '#599', '#599', '#191', '#599', '#191', '#191', '#281', '#191', '#281', '#191', '#191', '#90', '#191', '#191', '#90', '#191', '#112', '#191', '#112', '#112', '#658', '#658', '#191', '#658', '#658', '#191', '#191', '#191', '#965', '#191', '#253', '#253', '#191', '#253', '#253', '#191', '#178', '#178', '#178', '#178', '#191', '#330', '#191', '#330', '#330', '#191', '#745', '#191', '#745', '#745', '#976', '#191', '#976', '#191', '#976', '#984', '#984', '#984', '#984', '#191', '#544', '#544', '#191', '#544', '#544', '#191', '#935', '#191', '#935', '#191', '#854', '#854', '#191', '#854', '#191', '#66', '#66', '#191', '#66', '#66', '#39', '#39', '#39', '#191', '#39', '#707', '#191', '#191', '#707', '#707', '#364', '#364', '#364', '#364', '#191', '#64', '#64', '#64', '#191', '#64', '#191', '#41', '#191', '#41', '#191', '#177', '#177', '#191', '#177', '#177', '#191', '#722', '#191', '#191', '#722']"
#595,71,12,"['#191', '#191', '#191', '#595', '#191', '#595', '#595', '#965', '#965', '#965', '#595', '#595', '#595', '#595', '#566', '#937', '#595', '#937', '#595', '#937', '#584', '#595', '#584', '#584', '#595', '#595', '#595', '#716', '#716', '#716', '#595', '#595', '#595', '#321', '#321', '#729', '#729', '#729', '#595', '#729', '#766', '#595', '#766', '#595', '#766', '#595', '#595', '#802', '#802', '#802', '#777', '#595', '#595', '#595', '#777', '#298', '#595', '#595', '#298', '#595', '#458', '#458', '#458', '#595', '#458', '#913', '#595', '#595', '#913', '#913', '#997', '#997', '#997', '#997', '#997', '#569', '#595', '#569', '#595', '#595', '#86', '#595', '#595', '#595', '#86', '#15', '#595', '#595', '#15', '#15', '#971', '#595', '#971', '#971', '#595', '#31', '#595', '#595', '#595', '#31', '#595', '#595', '#465', '#465', '#595', '#595', '#487', '#487', '#487', '#487', '#595', '#595', '#595', '#595', '#595', '#619', '#595', '#595', '#619', '#619', '#595', '#761', '#761', '#761', '#761', '#92', '#595', '#92', '#92', '#92', '#595', '#595', '#595', '#656', '#656', '#640', '#640', '#640', '#595', '#595', '#595', '#595', '#108', '#108', '#595', '#595', '#595', '#595', '#595', '#189', '#274', '#595', '#274', '#274', '#595', '#937', '#937', '#937', '#595', '#937']"
#193,125,29,"['#715', '#193', '#715', '#193', '#193', '#193', '#745', '#193', '#745', '#193', '#193', '#193', '#504', '#193', '#504', '#193', '#193', '#792', '#792', '#792', '#193', '#553', '#553', '#553', '#193', '#648', '#193', '#648', '#648', '#193', '#535', '#193', '#535', '#193', '#193', '#448', '#193', '#448', '#448', '#193', '#193', '#193', '#193', '#713', '#193', '#193', '#193', '#193', '#30', '#193', '#701', '#193', '#701', '#701', '#193', '#193', '#193', '#910', '#193', '#910', '#193', '#193', '#193', '#780', '#193', '#382', '#193', '#382', '#382', '#193', '#35', '#193', '#193', '#193', '#193', '#193', '#193', '#971', '#971', '#193', '#193', '#193', '#193', '#44', '#44', '#302', '#193', '#302', '#193', '#193', '#193', '#193', '#731', '#731', '#193', '#770', '#193', '#193', '#770', '#193', '#193', '#193', '#652', '#193', '#193', '#193', '#193', '#704', '#193', '#193', '#193', '#502', '#502', '#193', '#193', '#831', '#193', '#831', '#831', '#831', '#853', '#193', '#193', '#853', '#853', '#624', '#193', '#624', '#193', '#193', '#193', '#193', '#193', '#193', '#147', '#193', '#193', '#747', '#193', '#193', '#193', '#193', '#950', '#193', '#950', '#193', '#193', '#193', '#193', '#193', '#751', '#193', '#193', '#751', '#193', '#193', '#193', '#193', '#50', '#193', '#193', '#193', '#319', '#193', '#319', '#193', '#193', '#535', '#193', '#193', '#418', '#193', '#418', '#418', '#193', '#170', '#193', '#170', '#170', '#193', '#483', '#193', '#193', '#193', '#193', '#193', '#193', '#193', '#193', '#193', '#193', '#193', '#52', '#52', '#52', '#193', '#193', '#421', '#421', '#193', '#507', '#193', '#507', '#193', '#507']"
#715,82,9,"['#715', '#193', '#715', '#193', '#193', '#715', '#715', '#715', '#579', '#715', '#661', '#661', '#661', '#715', '#661', '#715', '#747', '#747', '#747', '#747', '#5', '#5', '#5', '#715', '#715', '#573', '#573', '#573', '#715', '#715', '#455', '#455', '#715', '#715', '#715', '#160', '#715', '#715', '#715', '#160', '#446', '#446', '#446', '#446', '#446', '#715', '#715', '#715', '#393', '#715', '#715', '#715', '#598', '#598', '#598', '#301', '#301', '#301', '#715', '#715', '#134', '#715', '#715', '#134', '#134', '#715', '#715', '#904', '#904', '#904', '#258', '#258', '#258', '#715', '#258', '#909', '#909', '#909', '#909', '#909', '#715', '#696', '#696', '#715', '#696', '#715', '#755', '#755', '#715', '#715', '#609', '#715', '#609', '#715', '#715', '#821', '#715', '#821', '#821', '#715', '#146', '#146', '#715', '#146', '#715', '#296', '#715', '#296', '#715', '#296', '#715', '#49', '#49', '#715', '#49', '#271', '#271', '#271', '#715', '#715', '#11', '#715', '#11', '#11', '#11', '#128', '#715', '#128', '#715', '#128', '#715', '#208', '#208', '#208', '#208', '#823', '#715', '#823', '#715', '#715', '#715', '#715', '#715', '#715', '#715', '#715', '#392', '#392', '#715', '#392', '#840', '#715', '#840', '#840', '#715', '#960', '#960', '#960', '#715', '#960', '#654', '#654', '#654', '#654', '#715', '#818', '#818', '#715', '#818', '#818', '#489', '#489', '#489', '#489', '#715', '#817', '#715', '#817', '#715', '#817', '#715', '#223', '#223', '#715', '#715', '#715', '#591', '#591', '#591', '#715', '#396', '#396', '#396', '#715', '#715', '#741', '#741', '#715', '#715', '#741', '#715', '#715', '#457', '#457', '#457']"
