snum,wins,victories,rounds
#42,39,9,"['#1', '#1', '#1', '#42', '#1', '#42', '#529', '#529', '#42', '#42', '#42', '#42', '#959', '#959', '#42', '#324', '#42', '#324', '#42', '#42', '#388', '#388', '#388', '#42', '#388', '#42', '#42', '#42', '#42', '#875', '#414', '#414', '#414', '#414', '#414', '#220', '#42', '#220', '#42', '#42', '#116', '#42', '#116', '#116', '#42', '#828', '#42', '#828', '#828', '#42', '#56', '#42', '#56', '#42', '#42', '#42', '#42', '#320', '#42', '#42', '#42', '#277', '#277', '#277', '#42', '#473', '#42', '#473', '#42', '#42', '#717', '#42', '#717', '#42', '#42', '#78', '#78', '#42', '#78', '#42']"
#152,29,5,"['#236', '#236', '#236', '#152', '#236', '#649', '#152', '#152', '#649', '#649', '#152', '#354', '#152', '#354', '#152', '#182', '#182', '#152', '#182', '#182', '#152', '#152', '#370', '#370', '#370', '#82', '#152', '#152', '#152', '#152', '#152', '#152', '#152', '#679', '#679', '#508', '#508', '#152', '#152', '#152', '#658', '#658', '#152', '#658', '#658', '#221', '#221', '#221', '#221', '#152', '#196', '#152', '#152', '#152', '#152', '#361', '#152', '#361', '#152', '#361', '#152', '#406', '#152', '#406', '#406']"
#236,28,6,"['#236', '#236', '#236', '#152', '#236', '#236', '#236', '#236', '#271', '#236', '#236', '#236', '#390', '#236', '#236', '#396', '#236', '#236', '#396', '#396', '#523', '#236', '#236', '#523', '#523', '#236', '#236', '#236', '#236', '#795', '#674', '#674', '#236', '#236', '#236', '#236', '#236', '#126', '#126', '#236', '#962', '#962', '#962', '#962', '#962', '#978', '#236', '#236', '#978', '#978']"
#860,37,8,"['#596', '#860', '#860', '#860', '#860', '#860', '#860', '#860', '#860', '#419', '#860', '#860', '#948', '#948', '#948', '#526', '#860', '#860', '#860', '#526', '#860', '#860', '#860', '#860', '#935', '#860', '#860', '#860', '#860', '#849', '#837', '#837', '#860', '#837', '#860', '#860', '#860', '#860', '#860', '#602', '#391', '#860', '#391', '#860', '#391', '#860', '#860', '#233', '#860', '#860', '#860', '#860', '#860', '#860', '#926']"
#596,42,8,"['#596', '#860', '#860', '#860', '#860', '#434', '#434', '#434', '#434', '#434', '#586', '#596', '#596', '#596', '#586', '#596', '#826', '#826', '#596', '#596', '#596', '#421', '#421', '#596', '#421', '#596', '#596', '#596', '#596', '#596', '#596', '#596', '#258', '#596', '#258', '#596', '#600', '#600', '#600', '#596', '#505', '#505', '#596', '#505', '#505', '#596', '#596', '#435', '#435', '#596', '#596', '#986', '#986', '#596', '#986', '#206', '#206', '#206', '#596', '#596', '#151', '#596', '#151', '#596', '#151', '#596', '#665', '#665', '#596', '#596', '#318', '#318', '#318', '#596', '#318', '#71', '#71', '#71', '#596', '#71', '#596', '#596', '#280', '#596', '#280', '#691', '#691', '#596', '#596', '#691', '#897', '#596', '#897', '#596', '#596']"
#708,28,5,"['#708', '#708', '#407', '#708', '#708', '#708', '#708', '#708', '#307', '#307', '#895', '#895', '#708', '#895', '#708', '#897', '#708', '#897', '#897', '#708', '#943', '#943', '#708', '#943', '#943', '#788', '#708', '#708', '#788', '#788', '#708', '#708', '#708', '#708', '#708', '#565', '#565', '#708', '#565', '#565', '#708', '#708', '#708', '#881', '#708', '#708', '#708', '#708', '#708', '#847']"
#407,19,3,"['#708', '#708', '#407', '#708', '#708', '#407', '#407', '#321', '#407', '#321', '#407', '#205', '#407', '#407', '#205', '#407', '#407', '#407', '#457', '#407', '#308', '#407', '#308', '#308', '#308', '#370', '#370', '#370', '#370', '#370', '#936', '#936', '#936', '#936', '#407', '#776', '#776', '#407', '#776', '#407', '#407', '#768', '#407', '#768', '#768', '#407', '#875', '#407', '#875', '#875']"
#227,26,6,"['#227', '#575', '#227', '#227', '#227', '#151', '#227', '#151', '#227', '#151', '#227', '#227', '#227', '#87', '#87', '#227', '#227', '#123', '#227', '#123', '#227', '#227', '#403', '#403', '#403', '#227', '#227', '#227', '#748', '#748', '#488', '#227', '#227', '#227', '#227', '#29', '#227', '#29', '#29', '#227', '#227', '#227', '#306', '#227', '#306']"
#575,13,2,"['#227', '#575', '#227', '#227', '#227', '#116', '#116', '#116', '#116', '#116', '#575', '#454', '#454', '#454', '#575', '#575', '#575', '#858', '#858', '#575', '#731', '#731', '#731', '#731', '#575', '#575', '#974', '#974', '#575', '#575', '#575', '#906', '#906', '#575', '#906', '#116', '#116', '#116', '#116', '#116', '#626', '#575', '#626', '#626', '#626']"
#899,32,6,"['#218', '#218', '#218', '#218', '#218', '#899', '#899', '#915', '#899', '#915', '#899', '#899', '#899', '#899', '#899', '#899', '#123', '#899', '#123', '#899', '#960', '#899', '#960', '#899', '#960', '#274', '#899', '#899', '#274', '#274', '#584', '#584', '#899', '#584', '#899', '#790', '#790', '#899', '#790', '#899', '#899', '#899', '#924', '#899', '#899', '#899', '#899', '#899', '#202', '#202', '#899', '#781', '#899', '#899', '#899', '#899', '#133', '#133', '#899', '#133']"
#218,29,6,"['#218', '#218', '#218', '#218', '#218', '#218', '#888', '#218', '#888', '#218', '#218', '#218', '#218', '#136', '#218', '#218', '#218', '#250', '#250', '#250', '#339', '#218', '#339', '#339', '#339', '#739', '#218', '#218', '#739', '#739', '#218', '#218', '#218', '#161', '#218', '#218', '#482', '#218', '#218', '#482', '#673', '#218', '#218', '#218', '#673', '#321', '#218', '#218', '#321', '#321']"
#511,32,7,"['#827', '#827', '#511', '#827', '#827', '#511', '#420', '#511', '#511', '#511', '#226', '#511', '#511', '#511', '#511', '#458', '#458', '#511', '#511', '#511', '#511', '#29', '#511', '#29', '#29', '#682', '#511', '#511', '#682', '#682', '#511', '#511', '#511', '#810', '#511', '#60', '#60', '#60', '#511', '#60', '#585', '#585', '#511', '#585', '#585', '#511', '#511', '#511', '#4', '#511', '#511', '#511', '#554', '#511', '#554', '#511', '#511', '#511', '#657', '#657', '#940', '#940', '#940', '#940', '#940']"
#827,27,6,"['#827', '#827', '#511', '#827', '#827', '#439', '#439', '#827', '#439', '#827', '#827', '#719', '#719', '#827', '#827', '#827', '#395', '#827', '#395', '#827', '#827', '#553', '#553', '#553', '#827', '#533', '#827', '#827', '#533', '#827', '#827', '#283', '#283', '#283', '#827', '#417', '#827', '#827', '#417', '#827', '#827', '#827', '#827', '#689', '#689', '#827', '#573', '#573', '#573', '#827']"
#116,51,11,"['#116', '#116', '#116', '#116', '#116', '#955', '#116', '#116', '#116', '#955', '#116', '#116', '#116', '#116', '#879', '#116', '#116', '#473', '#473', '#473', '#875', '#116', '#116', '#116', '#875', '#116', '#116', '#116', '#116', '#116', '#116', '#116', '#116', '#471', '#116', '#835', '#835', '#116', '#116', '#835', '#116', '#42', '#116', '#116', '#42', '#957', '#116', '#116', '#116', '#116', '#847', '#847', '#847', '#116', '#847', '#555', '#116', '#555', '#116', '#116', '#116', '#921', '#921', '#921', '#921', '#139', '#116', '#139', '#139', '#139', '#116', '#116', '#116', '#116', '#116', '#31', '#116', '#116', '#116', '#31', '#116', '#971', '#971', '#116', '#971']"
#879,27,6,"['#879', '#469', '#879', '#879', '#469', '#804', '#879', '#804', '#804', '#879', '#158', '#158', '#158', '#158', '#879', '#323', '#323', '#879', '#879', '#323', '#116', '#116', '#116', '#116', '#879', '#862', '#862', '#879', '#879', '#879', '#879', '#222', '#879', '#222', '#879', '#879', '#879', '#879', '#879', '#879', '#879', '#637', '#879', '#637', '#879', '#15', '#879', '#879', '#879', '#879']"
