snum,wins,victories,rounds
#887,16,2,"['#392', '#392', '#392', '#887', '#887', '#723', '#887', '#887', '#887', '#723', '#669', '#887', '#669', '#669', '#887', '#887', '#128', '#887', '#128', '#128', '#887', '#887', '#887', '#887', '#721', '#380', '#887', '#887', '#380', '#380', '#614', '#887', '#614', '#614', '#614']"
#93,21,4,"['#389', '#389', '#389', '#93', '#389', '#693', '#93', '#693', '#693', '#93', '#306', '#306', '#93', '#306', '#93', '#167', '#93', '#93', '#93', '#167', '#458', '#93', '#458', '#93', '#458', '#93', '#17', '#93', '#17', '#93', '#93', '#93', '#468', '#468', '#93', '#93', '#93', '#861', '#861', '#93', '#391', '#391', '#93', '#93', '#391', '#850', '#850', '#850', '#850', '#850']"
#593,43,7,"['#539', '#539', '#593', '#539', '#539', '#532', '#593', '#593', '#593', '#593', '#394', '#394', '#593', '#593', '#593', '#593', '#172', '#593', '#593', '#593', '#593', '#593', '#593', '#593', '#593', '#593', '#593', '#593', '#593', '#593', '#919', '#593', '#593', '#919', '#919', '#593', '#491', '#491', '#593', '#491', '#593', '#397', '#593', '#397', '#397', '#443', '#593', '#593', '#443', '#443', '#475', '#593', '#593', '#475', '#475', '#593', '#593', '#593', '#593', '#243', '#593', '#593', '#593', '#593', '#8', '#593', '#243', '#593', '#243', '#243', '#814', '#593', '#814', '#814', '#814']"
#311,22,5,"['#311', '#747', '#747', '#311', '#747', '#194', '#194', '#194', '#194', '#194', '#311', '#318', '#311', '#318', '#311', '#197', '#197', '#311', '#197', '#311', '#311', '#490', '#311', '#311', '#490', '#311', '#926', '#311', '#311', '#311', '#311', '#351', '#311', '#311', '#351', '#311', '#550', '#311', '#550', '#311', '#732', '#311', '#732', '#732', '#732', '#462', '#462', '#462', '#311', '#462']"
#747,36,8,"['#311', '#747', '#747', '#311', '#747', '#997', '#747', '#747', '#747', '#997', '#747', '#973', '#973', '#747', '#973', '#747', '#747', '#747', '#330', '#330', '#747', '#747', '#747', '#538', '#747', '#730', '#747', '#730', '#747', '#747', '#103', '#747', '#103', '#103', '#747', '#747', '#747', '#747', '#747', '#226', '#747', '#747', '#747', '#747', '#539', '#261', '#261', '#747', '#261', '#747', '#268', '#747', '#268', '#747', '#268', '#747', '#55', '#55', '#55', '#55', '#747', '#747', '#28', '#747', '#28']"
#84,21,3,"['#84', '#883', '#84', '#883', '#84', '#84', '#84', '#724', '#84', '#84', '#84', '#762', '#84', '#762', '#84', '#84', '#84', '#144', '#144', '#144', '#325', '#84', '#325', '#325', '#325', '#500', '#500', '#500', '#84', '#500', '#637', '#637', '#637', '#84', '#637', '#84', '#957', '#957', '#84', '#957', '#444', '#84', '#444', '#84', '#444', '#714', '#714', '#84', '#84', '#714']"
#777,26,3,"['#777', '#495', '#777', '#777', '#777', '#205', '#777', '#205', '#205', '#777', '#798', '#798', '#798', '#777', '#777', '#777', '#440', '#440', '#440', '#777', '#777', '#777', '#777', '#777', '#777', '#777', '#21', '#21', '#777', '#21', '#777', '#299', '#299', '#299', '#299', '#777', '#777', '#118', '#118', '#118', '#413', '#777', '#413', '#413', '#413', '#777', '#974', '#974', '#777', '#777', '#375', '#777', '#375', '#375', '#777']"
#495,24,6,"['#777', '#495', '#777', '#777', '#777', '#495', '#495', '#214', '#495', '#214', '#624', '#495', '#624', '#495', '#495', '#495', '#495', '#721', '#495', '#495', '#495', '#495', '#477', '#477', '#495', '#495', '#495', '#495', '#319', '#319', '#495', '#495', '#477', '#477', '#477', '#495', '#681', '#681', '#495', '#681', '#495', '#495', '#694', '#694', '#495']"
#406,31,8,"['#460', '#406', '#460', '#406', '#406', '#406', '#127', '#406', '#406', '#406', '#406', '#406', '#406', '#406', '#24', '#406', '#406', '#406', '#406', '#406', '#406', '#406', '#503', '#406', '#406', '#287', '#406', '#287', '#406', '#406', '#145', '#406', '#145', '#145', '#406', '#152', '#406', '#152', '#406', '#406', '#761', '#406', '#406', '#761', '#406']"
#649,37,8,"['#557', '#649', '#557', '#557', '#557', '#400', '#649', '#400', '#400', '#649', '#561', '#561', '#561', '#561', '#561', '#649', '#152', '#152', '#649', '#649', '#649', '#255', '#255', '#649', '#649', '#898', '#649', '#898', '#649', '#649', '#649', '#316', '#649', '#649', '#649', '#649', '#649', '#903', '#649', '#903', '#649', '#951', '#951', '#649', '#649', '#418', '#418', '#418', '#418', '#649', '#379', '#379', '#379', '#649', '#649', '#649', '#649', '#718', '#718', '#649', '#27', '#27', '#649', '#649', '#27', '#12', '#649', '#12', '#12', '#649', '#375', '#375', '#375', '#649', '#649', '#649', '#805', '#649', '#805', '#649']"
#260,27,4,"['#588', '#260', '#588', '#260', '#588', '#140', '#140', '#260', '#260', '#140', '#301', '#301', '#301', '#260', '#260', '#260', '#260', '#260', '#492', '#260', '#260', '#496', '#260', '#496', '#260', '#47', '#260', '#47', '#47', '#47', '#411', '#411', '#260', '#411', '#411', '#260', '#260', '#260', '#260', '#260', '#189', '#260', '#260', '#260', '#189', '#271', '#271', '#271', '#260', '#271', '#588', '#588', '#588', '#260', '#588', '#260', '#470', '#260', '#470', '#470']"
#998,49,9,"['#998', '#875', '#875', '#998', '#875', '#998', '#752', '#752', '#998', '#998', '#296', '#998', '#296', '#998', '#296', '#998', '#486', '#998', '#486', '#486', '#998', '#998', '#998', '#998', '#998', '#613', '#613', '#613', '#998', '#613', '#530', '#998', '#530', '#998', '#530', '#998', '#998', '#998', '#998', '#911', '#998', '#998', '#104', '#998', '#998', '#14', '#14', '#14', '#998', '#14', '#998', '#998', '#975', '#998', '#975', '#998', '#998', '#998', '#998', '#776', '#998', '#998', '#750', '#998', '#998', '#998', '#998', '#124', '#998', '#998', '#545', '#545', '#998', '#545', '#998', '#998', '#998', '#330', '#998', '#998', '#998', '#998', '#113', '#113', '#113']"
#916,14,3,"['#916', '#17', '#916', '#17', '#17', '#916', '#916', '#916', '#38', '#38', '#916', '#916', '#916', '#599', '#916', '#730', '#916', '#916', '#730', '#730', '#916', '#916', '#916', '#108', '#108']"
#17,10,1,"['#916', '#17', '#916', '#17', '#17', '#742', '#17', '#742', '#742', '#742', '#523', '#17', '#17', '#523', '#523', '#17', '#684', '#684', '#684', '#684', '#512', '#512', '#512', '#512', '#512', '#17', '#722', '#722', '#722', '#722', '#93', '#17', '#93', '#17', '#93']"
#458,23,4,"['#416', '#458', '#458', '#458', '#458', '#458', '#458', '#511', '#511', '#511', '#969', '#458', '#969', '#969', '#969', '#458', '#458', '#908', '#908', '#908', '#458', '#93', '#458', '#93', '#458', '#440', '#458', '#440', '#458', '#458', '#133', '#458', '#133', '#458', '#133', '#458', '#458', '#458', '#197', '#197', '#458', '#348', '#348', '#348', '#348', '#458', '#458', '#120', '#120', '#120']"
#944,29,4,"['#944', '#944', '#944', '#944', '#417', '#701', '#701', '#701', '#701', '#701', '#944', '#847', '#944', '#847', '#847', '#944', '#944', '#808', '#944', '#944', '#944', '#944', '#944', '#944', '#665', '#944', '#129', '#129', '#944', '#129', '#944', '#404', '#944', '#944', '#944', '#16', '#944', '#16', '#944', '#16', '#28', '#28', '#944', '#28', '#944', '#690', '#690', '#944', '#690', '#690', '#690', '#690', '#944', '#690', '#690', '#282', '#282', '#944', '#282', '#282', '#943', '#943', '#943', '#943', '#943', '#302', '#302', '#944', '#944', '#302']"
#417,21,4,"['#944', '#944', '#944', '#944', '#417', '#583', '#417', '#583', '#583', '#583', '#417', '#417', '#13', '#417', '#13', '#417', '#417', '#143', '#417', '#143', '#390', '#417', '#390', '#390', '#417', '#556', '#556', '#556', '#556', '#556', '#417', '#417', '#641', '#417', '#417', '#718', '#417', '#718', '#417', '#417', '#417', '#666', '#666', '#666', '#666', '#417', '#827', '#827', '#417', '#827', '#547', '#417', '#547', '#547', '#547']"
#765,24,4,"['#765', '#265', '#765', '#765', '#765', '#765', '#765', '#765', '#416', '#765', '#765', '#920', '#920', '#920', '#765', '#765', '#621', '#765', '#621', '#765', '#765', '#97', '#97', '#97', '#765', '#765', '#826', '#826', '#826', '#765', '#869', '#765', '#869', '#869', '#765', '#765', '#687', '#687', '#765', '#765', '#146', '#146', '#765', '#146', '#765']"
#265,19,4,"['#765', '#265', '#765', '#765', '#765', '#265', '#265', '#265', '#265', '#45', '#265', '#265', '#265', '#677', '#677', '#265', '#881', '#265', '#881', '#881', '#265', '#265', '#208', '#208', '#265', '#321', '#265', '#321', '#321', '#321', '#716', '#265', '#716', '#716', '#716', '#611', '#265', '#265', '#265', '#265']"
#668,19,4,"['#668', '#433', '#668', '#668', '#668', '#668', '#668', '#424', '#668', '#668', '#993', '#993', '#993', '#993', '#993', '#248', '#248', '#248', '#248', '#668', '#668', '#668', '#109', '#109', '#109', '#668', '#668', '#949', '#668', '#668', '#504', '#668', '#668', '#668', '#668']"
#433,21,5,"['#668', '#433', '#668', '#668', '#668', '#433', '#433', '#913', '#913', '#433', '#433', '#433', '#433', '#464', '#433', '#493', '#433', '#493', '#433', '#433', '#690', '#690', '#690', '#690', '#690', '#541', '#433', '#433', '#433', '#541', '#419', '#433', '#419', '#433', '#419', '#23', '#433', '#23', '#433', '#23', '#433', '#433', '#719', '#433', '#719']"
#736,30,8,"['#736', '#736', '#964', '#736', '#964', '#891', '#736', '#891', '#736', '#891', '#736', '#736', '#736', '#736', '#452', '#736', '#736', '#736', '#253', '#736', '#431', '#431', '#431', '#431', '#431', '#419', '#736', '#736', '#419', '#736', '#105', '#736', '#105', '#105', '#105', '#611', '#736', '#736', '#736', '#736', '#709', '#709', '#736', '#736', '#736', '#736', '#5', '#736', '#736', '#5', '#736', '#736', '#587', '#587', '#736']"
#419,43,9,"['#865', '#419', '#419', '#419', '#865', '#419', '#419', '#419', '#439', '#439', '#937', '#419', '#937', '#937', '#937', '#844', '#844', '#419', '#419', '#419', '#647', '#647', '#419', '#647', '#419', '#63', '#63', '#63', '#63', '#419', '#419', '#705', '#419', '#419', '#419', '#860', '#860', '#860', '#860', '#419', '#419', '#374', '#419', '#374', '#419', '#419', '#219', '#219', '#219', '#419', '#233', '#233', '#233', '#233', '#419', '#419', '#419', '#419', '#419', '#419', '#419', '#736', '#736', '#419', '#736', '#419', '#965', '#419', '#965', '#419', '#419', '#433', '#419', '#433', '#419', '#419', '#419', '#419', '#419', '#419', '#571', '#571', '#571', '#419', '#571']"
#427,20,2,"['#38', '#38', '#427', '#427', '#38', '#427', '#427', '#427', '#19', '#427', '#427', '#427', '#787', '#787', '#787', '#660', '#427', '#660', '#660', '#427', '#994', '#994', '#994', '#427', '#994', '#59', '#59', '#427', '#427', '#427', '#427', '#487', '#427', '#487', '#487', '#828', '#427', '#828', '#828', '#828', '#614', '#614', '#614', '#427', '#614', '#427', '#337', '#337', '#337', '#337', '#682', '#427', '#682', '#682', '#682']"
#512,45,11,"['#512', '#659', '#512', '#512', '#512', '#695', '#695', '#512', '#512', '#512', '#512', '#595', '#512', '#512', '#512', '#398', '#398', '#512', '#512', '#398', '#512', '#512', '#512', '#512', '#512', '#512', '#625', '#512', '#512', '#625', '#512', '#512', '#512', '#512', '#654', '#512', '#512', '#626', '#512', '#512', '#512', '#256', '#512', '#512', '#512', '#512', '#512', '#512', '#512', '#455', '#512', '#512', '#512', '#512', '#512', '#512', '#488', '#512', '#512', '#488']"
#659,18,3,"['#512', '#659', '#512', '#512', '#512', '#729', '#659', '#729', '#659', '#729', '#195', '#195', '#659', '#195', '#659', '#659', '#607', '#659', '#607', '#659', '#861', '#861', '#861', '#659', '#659', '#740', '#740', '#740', '#659', '#740', '#659', '#659', '#659', '#345', '#345', '#659', '#659', '#659', '#905', '#905', '#425', '#659', '#425', '#425', '#425']"
#201,15,2,"['#849', '#201', '#201', '#201', '#201', '#559', '#201', '#201', '#559', '#559', '#201', '#1', '#201', '#201', '#201', '#593', '#593', '#593', '#593', '#593', '#201', '#682', '#682', '#682', '#201', '#586', '#586', '#586', '#201', '#586', '#201', '#858', '#858', '#858', '#201']"
#849,9,1,"['#849', '#201', '#201', '#201', '#201', '#849', '#849', '#179', '#179', '#179', '#901', '#901', '#901', '#901', '#849', '#194', '#194', '#194', '#849', '#194', '#860', '#860', '#860', '#860', '#849', '#849', '#849', '#801', '#849', '#801']"
#349,23,6,"['#349', '#349', '#349', '#38', '#38', '#349', '#202', '#202', '#349', '#349', '#355', '#349', '#349', '#355', '#349', '#628', '#349', '#349', '#628', '#349', '#349', '#89', '#89', '#349', '#349', '#310', '#310', '#349', '#310', '#349', '#349', '#315', '#315', '#315', '#315', '#591', '#349', '#591', '#591', '#349', '#349', '#912', '#349', '#912', '#349']"
#71,40,8,"['#756', '#71', '#71', '#71', '#71', '#71', '#529', '#71', '#529', '#71', '#71', '#71', '#71', '#71', '#71', '#71', '#380', '#71', '#380', '#71', '#71', '#71', '#718', '#71', '#71', '#123', '#123', '#123', '#71', '#71', '#71', '#71', '#71', '#954', '#71', '#964', '#71', '#964', '#71', '#964', '#71', '#217', '#217', '#217', '#71', '#932', '#71', '#932', '#932', '#71', '#71', '#71', '#71', '#596', '#71', '#570', '#570', '#71', '#71', '#71', '#71', '#71', '#217', '#217', '#217']"
#774,41,9,"['#774', '#774', '#774', '#774', '#774', '#147', '#774', '#774', '#774', '#147', '#774', '#859', '#859', '#774', '#859', '#117', '#117', '#774', '#117', '#117', '#774', '#774', '#774', '#932', '#932', '#323', '#774', '#323', '#774', '#774', '#774', '#774', '#774', '#774', '#183', '#774', '#1', '#1', '#774', '#1', '#448', '#774', '#774', '#774', '#774', '#774', '#774', '#774', '#774', '#774', '#774', '#774', '#547', '#774', '#547', '#774', '#774', '#774', '#774', '#818', '#527', '#527', '#774', '#774', '#527']"
#918,53,12,"['#918', '#982', '#918', '#982', '#982', '#918', '#918', '#918', '#918', '#300', '#918', '#918', '#918', '#328', '#328', '#327', '#918', '#918', '#327', '#918', '#918', '#429', '#918', '#918', '#429', '#918', '#918', '#918', '#49', '#918', '#918', '#918', '#961', '#918', '#961', '#918', '#918', '#918', '#482', '#482', '#918', '#918', '#918', '#918', '#570', '#918', '#918', '#918', '#690', '#918', '#995', '#918', '#918', '#995', '#995', '#638', '#918', '#918', '#638', '#638', '#918', '#327', '#918', '#918', '#327', '#761', '#918', '#761', '#761', '#761', '#559', '#918', '#918', '#559', '#559', '#315', '#918', '#918', '#315', '#315', '#139', '#918', '#139', '#918', '#139', '#918', '#918', '#918', '#125', '#125', '#918', '#918', '#681', '#918', '#681']"
#982,23,4,"['#918', '#982', '#918', '#982', '#982', '#797', '#797', '#982', '#797', '#982', '#982', '#412', '#982', '#982', '#982', '#982', '#982', '#506', '#506', '#506', '#30', '#30', '#30', '#982', '#982', '#982', '#982', '#301', '#301', '#982', '#474', '#982', '#474', '#982', '#474', '#943', '#943', '#943', '#943', '#943', '#611', '#982', '#982', '#611', '#982', '#608', '#608', '#982', '#608', '#608', '#928', '#928', '#928', '#982', '#928']"
#437,26,6,"['#379', '#437', '#437', '#437', '#379', '#115', '#437', '#437', '#437', '#437', '#312', '#312', '#437', '#312', '#312', '#133', '#437', '#133', '#437', '#437', '#437', '#54', '#54', '#54', '#54', '#145', '#145', '#437', '#437', '#437', '#437', '#437', '#642', '#642', '#642', '#437', '#889', '#437', '#437', '#889', '#909', '#909', '#437', '#909', '#909', '#581', '#437', '#437', '#581', '#581', '#371', '#437', '#437', '#437', '#371']"
#379,30,3,"['#379', '#437', '#437', '#437', '#379', '#379', '#198', '#198', '#198', '#198', '#216', '#216', '#379', '#379', '#216', '#379', '#67', '#379', '#67', '#67', '#379', '#379', '#379', '#379', '#379', '#492', '#492', '#379', '#379', '#492', '#334', '#334', '#379', '#334', '#334', '#379', '#2', '#379', '#2', '#2', '#967', '#379', '#379', '#967', '#379', '#52', '#379', '#379', '#52', '#52', '#633', '#633', '#379', '#379', '#633', '#379', '#379', '#379', '#649', '#649', '#780', '#379', '#780', '#379', '#780', '#379', '#952', '#952', '#952', '#952']"
#346,26,5,"['#209', '#346', '#346', '#209', '#209', '#775', '#775', '#346', '#346', '#775', '#346', '#607', '#607', '#346', '#607', '#346', '#986', '#986', '#346', '#346', '#346', '#346', '#346', '#346', '#365', '#346', '#346', '#762', '#762', '#346', '#346', '#346', '#716', '#716', '#716', '#346', '#346', '#396', '#396', '#396', '#346', '#346', '#346', '#493', '#493', '#346', '#317', '#317', '#346', '#346']"
#209,29,4,"['#209', '#346', '#346', '#209', '#209', '#382', '#209', '#382', '#209', '#209', '#324', '#324', '#324', '#209', '#209', '#700', '#700', '#700', '#209', '#209', '#686', '#209', '#209', '#209', '#209', '#909', '#209', '#209', '#909', '#909', '#209', '#469', '#469', '#469', '#209', '#610', '#610', '#610', '#209', '#209', '#164', '#164', '#164', '#209', '#209', '#967', '#209', '#967', '#967', '#209', '#209', '#948', '#209', '#209', '#948', '#247', '#247', '#247', '#209', '#209']"
#50,15,4,"['#595', '#595', '#595', '#595', '#595', '#50', '#50', '#167', '#167', '#167', '#50', '#202', '#50', '#202', '#50', '#50', '#97', '#50', '#50', '#97', '#50', '#50', '#951', '#50', '#951', '#990', '#990', '#990', '#50', '#990', '#415', '#415', '#415', '#415', '#415', '#96', '#96', '#50', '#50', '#50']"
#62,23,7,"['#171', '#62', '#171', '#62', '#62', '#62', '#62', '#62', '#68', '#68', '#62', '#62', '#62', '#697', '#62', '#271', '#271', '#271', '#271', '#271', '#62', '#173', '#173', '#62', '#62', '#62', '#62', '#62', '#62', '#525', '#989', '#62', '#62', '#62', '#989', '#544', '#62', '#62', '#544', '#62']"
#171,20,2,"['#171', '#62', '#171', '#62', '#62', '#171', '#171', '#171', '#171', '#171', '#171', '#139', '#139', '#139', '#171', '#885', '#171', '#885', '#885', '#171', '#689', '#171', '#171', '#689', '#171', '#36', '#36', '#36', '#171', '#36', '#722', '#722', '#722', '#171', '#722', '#171', '#171', '#753', '#753', '#753', '#27', '#27', '#171', '#27', '#171']"
#483,35,8,"['#483', '#571', '#571', '#571', '#483', '#483', '#568', '#568', '#568', '#568', '#966', '#966', '#483', '#483', '#966', '#217', '#217', '#483', '#483', '#483', '#483', '#483', '#976', '#976', '#483', '#483', '#483', '#167', '#483', '#483', '#483', '#483', '#483', '#724', '#483', '#483', '#759', '#483', '#759', '#483', '#483', '#483', '#483', '#253', '#483', '#483', '#82', '#483', '#82', '#483', '#863', '#483', '#863', '#863', '#483', '#483', '#483', '#317', '#483', '#483']"
#571,10,2,"['#483', '#571', '#571', '#571', '#483', '#584', '#584', '#584', '#584', '#584', '#571', '#571', '#221', '#221', '#221', '#876', '#876', '#876', '#571', '#876', '#571', '#571', '#571', '#419', '#571', '#206', '#206', '#206', '#206', '#206']"
#947,31,6,"['#947', '#947', '#947', '#804', '#947', '#88', '#947', '#88', '#947', '#88', '#690', '#690', '#690', '#690', '#690', '#947', '#947', '#947', '#215', '#215', '#947', '#947', '#32', '#32', '#32', '#947', '#947', '#947', '#819', '#947', '#270', '#947', '#947', '#270', '#947', '#947', '#947', '#808', '#947', '#947', '#268', '#947', '#268', '#947', '#268', '#332', '#947', '#332', '#332', '#332', '#947', '#947', '#947', '#947', '#616', '#383', '#947', '#383', '#383', '#383', '#812', '#947', '#812', '#812', '#812']"
#891,42,7,"['#891', '#736', '#891', '#736', '#891', '#813', '#813', '#813', '#891', '#813', '#743', '#743', '#891', '#891', '#743', '#677', '#891', '#677', '#677', '#677', '#891', '#515', '#515', '#891', '#891', '#891', '#891', '#843', '#891', '#843', '#891', '#891', '#91', '#91', '#91', '#858', '#858', '#891', '#858', '#891', '#891', '#891', '#299', '#299', '#299', '#859', '#859', '#891', '#859', '#859', '#96', '#96', '#891', '#891', '#96', '#891', '#301', '#891', '#301', '#301', '#891', '#891', '#891', '#388', '#891', '#949', '#949', '#891', '#891', '#949', '#891', '#32', '#891', '#891', '#891', '#883', '#891', '#883', '#891', '#891', '#342', '#342', '#342', '#342', '#891', '#891', '#891', '#14', '#14', '#891', '#891', '#73', '#73', '#73', '#73']"
#869,16,3,"['#506', '#506', '#869', '#506', '#506', '#244', '#869', '#244', '#244', '#244', '#310', '#310', '#869', '#310', '#869', '#329', '#329', '#869', '#329', '#329', '#869', '#765', '#869', '#869', '#765', '#106', '#869', '#869', '#106', '#106', '#869', '#869', '#37', '#869', '#37', '#869', '#869', '#869', '#680', '#680']"
#506,19,3,"['#506', '#506', '#869', '#506', '#506', '#146', '#146', '#506', '#506', '#146', '#982', '#982', '#506', '#506', '#506', '#506', '#863', '#863', '#863', '#506', '#164', '#164', '#164', '#164', '#506', '#506', '#798', '#798', '#798', '#506', '#80', '#80', '#506', '#506', '#506', '#864', '#864', '#506', '#864', '#506']"
#874,17,3,"['#874', '#874', '#874', '#874', '#110', '#874', '#656', '#656', '#656', '#874', '#241', '#241', '#874', '#241', '#241', '#360', '#360', '#874', '#874', '#874', '#874', '#356', '#356', '#874', '#356', '#874', '#874', '#559', '#559', '#559', '#874', '#870', '#870', '#874', '#874']"
#110,34,8,"['#874', '#874', '#874', '#874', '#110', '#412', '#110', '#110', '#412', '#110', '#110', '#234', '#234', '#110', '#234', '#998', '#998', '#998', '#998', '#998', '#110', '#534', '#534', '#110', '#110', '#709', '#709', '#110', '#110', '#110', '#110', '#909', '#909', '#909', '#110', '#110', '#889', '#110', '#889', '#110', '#9', '#9', '#110', '#110', '#110', '#110', '#481', '#481', '#481', '#481', '#110', '#110', '#611', '#110', '#611', '#727', '#727', '#727', '#110', '#727', '#110', '#110', '#250', '#110', '#250', '#237', '#237', '#237', '#237', '#110', '#756', '#110', '#756', '#756', '#756', '#558', '#558', '#110', '#558', '#558', '#110', '#110', '#718', '#110', '#718']"
#73,27,6,"['#73', '#73', '#541', '#541', '#73', '#73', '#73', '#73', '#310', '#310', '#123', '#123', '#73', '#73', '#123', '#73', '#73', '#73', '#978', '#73', '#73', '#166', '#73', '#166', '#166', '#73', '#73', '#787', '#787', '#787', '#73', '#73', '#73', '#73', '#831', '#781', '#73', '#781', '#73', '#73', '#891', '#73', '#73', '#73', '#73']"
#414,30,5,"['#728', '#414', '#728', '#728', '#414', '#414', '#319', '#414', '#319', '#319', '#799', '#799', '#414', '#799', '#799', '#414', '#414', '#414', '#414', '#414', '#414', '#90', '#90', '#90', '#414', '#37', '#414', '#37', '#414', '#37', '#414', '#414', '#579', '#414', '#414', '#414', '#414', '#414', '#414', '#414', '#414', '#414', '#20', '#414', '#414', '#414', '#414', '#1', '#1', '#414']"
#728,35,8,"['#728', '#414', '#728', '#728', '#414', '#728', '#728', '#728', '#728', '#728', '#728', '#333', '#728', '#333', '#728', '#728', '#719', '#728', '#719', '#719', '#728', '#728', '#728', '#473', '#473', '#728', '#728', '#728', '#999', '#999', '#700', '#728', '#700', '#700', '#728', '#413', '#728', '#728', '#413', '#413', '#728', '#51', '#728', '#728', '#728', '#728', '#728', '#728', '#630', '#728', '#728', '#967', '#728', '#728', '#728']"
#822,19,4,"['#797', '#797', '#822', '#797', '#797', '#55', '#55', '#55', '#55', '#55', '#822', '#822', '#344', '#822', '#344', '#655', '#822', '#822', '#822', '#822', '#359', '#359', '#359', '#359', '#822', '#255', '#822', '#255', '#255', '#822', '#364', '#364', '#364', '#364', '#364', '#378', '#822', '#822', '#822', '#378', '#248', '#822', '#822', '#248', '#822', '#822', '#441', '#441', '#441', '#822']"
#289,27,4,"['#594', '#594', '#594', '#289', '#289', '#289', '#289', '#780', '#289', '#289', '#758', '#289', '#758', '#289', '#758', '#289', '#855', '#855', '#289', '#855', '#552', '#289', '#289', '#289', '#552', '#289', '#289', '#769', '#769', '#769', '#830', '#289', '#289', '#289', '#830', '#119', '#119', '#119', '#289', '#119', '#686', '#686', '#686', '#686', '#686', '#333', '#333', '#333', '#333', '#289', '#289', '#289', '#289', '#788', '#788', '#289', '#618', '#289', '#618', '#618', '#549', '#289', '#549', '#289', '#549']"
#594,24,7,"['#594', '#594', '#594', '#289', '#289', '#594', '#594', '#453', '#594', '#453', '#594', '#594', '#259', '#594', '#259', '#594', '#550', '#550', '#594', '#594', '#594', '#594', '#334', '#594', '#334', '#228', '#594', '#594', '#228', '#228', '#974', '#974', '#974', '#974', '#594', '#75', '#594', '#75', '#594', '#594', '#594', '#594', '#655', '#594', '#655']"
#560,40,9,"['#927', '#560', '#927', '#927', '#560', '#560', '#560', '#463', '#463', '#463', '#560', '#560', '#734', '#560', '#734', '#658', '#560', '#658', '#560', '#560', '#560', '#192', '#192', '#560', '#192', '#560', '#560', '#560', '#278', '#278', '#560', '#560', '#560', '#560', '#460', '#560', '#560', '#560', '#560', '#64', '#244', '#560', '#244', '#244', '#560', '#560', '#317', '#317', '#560', '#560', '#464', '#560', '#560', '#560', '#464', '#560', '#560', '#815', '#560', '#560', '#560', '#560', '#560', '#560', '#344', '#835', '#835', '#835', '#560', '#835']"
#927,36,7,"['#927', '#560', '#927', '#927', '#560', '#927', '#179', '#179', '#927', '#179', '#309', '#309', '#927', '#927', '#309', '#927', '#927', '#960', '#927', '#927', '#912', '#912', '#912', '#912', '#927', '#274', '#274', '#927', '#927', '#274', '#927', '#927', '#927', '#927', '#229', '#927', '#927', '#927', '#124', '#927', '#927', '#927', '#787', '#927', '#787', '#993', '#993', '#993', '#993', '#927', '#778', '#778', '#927', '#778', '#778', '#927', '#138', '#927', '#927', '#927', '#964', '#964', '#927', '#927', '#964', '#927', '#550', '#927', '#927', '#550']"
#328,18,3,"['#342', '#342', '#328', '#342', '#342', '#918', '#918', '#918', '#328', '#328', '#72', '#72', '#72', '#328', '#72', '#400', '#400', '#400', '#400', '#328', '#985', '#328', '#985', '#985', '#985', '#808', '#328', '#808', '#328', '#328', '#768', '#328', '#328', '#328', '#768', '#546', '#328', '#328', '#328', '#328', '#292', '#328', '#292', '#328', '#292']"
#609,16,4,"['#909', '#909', '#909', '#909', '#909', '#609', '#913', '#609', '#913', '#609', '#178', '#178', '#178', '#178', '#609', '#609', '#33', '#609', '#33', '#609', '#609', '#671', '#609', '#609', '#671', '#816', '#816', '#816', '#609', '#816', '#206', '#206', '#206', '#609', '#609', '#609', '#609', '#549', '#609', '#549']"
#909,67,17,"['#909', '#909', '#909', '#909', '#909', '#172', '#909', '#909', '#909', '#909', '#909', '#59', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#318', '#909', '#909', '#56', '#909', '#56', '#909', '#436', '#909', '#909', '#436', '#909', '#909', '#980', '#909', '#909', '#909', '#909', '#909', '#153', '#909', '#909', '#909', '#160', '#909', '#909', '#110', '#909', '#909', '#909', '#110', '#909', '#209', '#209', '#909', '#909', '#909', '#909', '#437', '#909', '#909', '#909', '#909', '#909', '#851', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#909', '#52', '#909', '#909', '#909', '#909', '#888', '#909']"
#726,36,7,"['#392', '#392', '#726', '#392', '#726', '#726', '#726', '#726', '#726', '#726', '#726', '#295', '#726', '#726', '#726', '#726', '#132', '#726', '#132', '#726', '#81', '#81', '#726', '#726', '#81', '#57', '#57', '#726', '#726', '#57', '#726', '#509', '#726', '#726', '#509', '#726', '#726', '#726', '#344', '#344', '#798', '#798', '#798', '#798', '#798', '#726', '#683', '#726', '#683', '#726', '#726', '#631', '#726', '#631', '#631', '#726', '#900', '#726', '#900', '#900', '#726', '#726', '#726', '#726', '#222', '#871', '#871', '#726', '#871', '#871']"
